일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10)
1936년 5월,15.8,67,27.4,3.2,5.8
1936년 6월,20.7,73,65.1,2.6,7.3
1936년 7월,23.6,80,210.2,3,8.4
1936년 8월,22.7,85,668.8,3,8.8
1936년 9월,20.1,81,252.4,2.4,6.7
1936년 10월,13.2,65,3.7,2.5,3.1
1936년 11월,5.7,65,44.5,2.8,4.4
1936년 12월,-0.5,65,67.8,2.4,4.7
1937년 1월,-3.6,59,15.7,2.3,4
1937년 2월,0.1,66,36.3,2.7,6.1
1937년 3월,3.6,58,36.6,3.4,5.3
1937년 4월,10.6,62,150.8,3.5,6.7
1937년 5월,15.8,67,70.2,3.3,4.8
1937년 6월,21.6,66,74.4,2.6,6.6
1937년 7월,24.6,81,248.8,2.3,7.5
1937년 8월,26.7,80,158.9,2.3,6.8
1937년 9월,20.3,74,183,2.2,6.3
1937년 10월,13.8,70,45.9,2,5.1
1937년 11월,7.2,69,20.2,2.2,5.3
1937년 12월,-3.9,63,21.9,2.4,4.2
1938년 1월,-6.3,60,14.2,2.7,3.4
1938년 2월,-3.3,56,22.7,3.2,3.3
1938년 3월,4.7,73,95.8,2.8,6.3
1938년 4월,11.4,59,6.1,3.6,4
1938년 5월,16.5,74,131.7,3.1,7.3
1938년 6월,20,76,111.6,2.7,7.8
1938년 7월,25.2,84,198.4,2.5,7.4
1938년 8월,26.3,77,202.8,2.4,6.5
1938년 9월,19.3,70,129,2.3,5.9
1938년 10월,15,72,98.7,2.1,4.9
1938년 11월,4.8,66,22.5,2.1,3.3
1938년 12월,-2.3,61,25.3,2.3,5.1
1939년 1월,-5.2,64,12.3,2.6,4.4
1939년 2월,-2,62,7.4,2.5,4.5
1939년 3월,4.1,65,20.5,3.3,5.3
1939년 4월,11.6,62,59,3.1,4.7
1939년 5월,15.7,69,105.5,2.9,5.6
1939년 6월,20.8,71,109.1,3.1,5.9
